Cluster 5,Cluster 10,Cluster 15,Cluster 20,Cluster 25,Cluster 30,Cluster 35,Cluster 40,Name,State,MSA,Total Population (2019),Population Change,Median Age,% Population in Labor Force,% Population in Poverty,% Population People of Color,$% Population with Bachelor's Degree,% Population Foreign Born,Net Domestic Migration,Higher Education Employment,Higher Education Establishments,Hospital Employment,Hospital Establishments,Higher Education Enrollment,High Research Doctoral Degree Institutions,Total Pell Grant Amounts Awarded,Hospitals/Community Hospitals,Hospital Beds,NIH Research Funding
4,3,8,10,6,1,6,7,Albuquerque,NM,AlbuquerqueNM,912108,5.792742688464503,38.2,61,16.2,25.070824946168656,32.2,8.9,-1185,8943.6,52,20352.01,24,70104,1,15479067,10,1869,0
1,2,10,4,3,8,1,29,York-Hanover,PA,York-HanoverPA,445565,4.061423483388804,41,65.60000000000001,9.6,11.581924073928608,24.9,4.2,521,1551.23,5,7001.72,7,8235,0,3810250,6,958,0
1,8,8,16,7,29,16,5,San Angelo,TX,San AngeloTX,120837,10.179351344451227,34.1,64.5,13.4,13.312147769309068,24.2,6.3,477,1292.27,6,2797.12,6,11812,0,4047906,2,451,0
4,8,10,4,4,24,17,39,Rapid City,SD,Rapid CitySD,138402,12.450641056890754,38.5,67.10000000000001,12.4,15.573474371757634,30.599999999999998,2.3,-672,1237.6,30,4556.5,8,9962,0,1181133,5,605,0
1,6,13,12,21,13,33,30,Sebring-Avon Park,FL,Sebring-Avon ParkFL,103437,0,53.5,42.3,18.6,19.234896603729805,17.2,11,1103,236.38,2,1642.45,4,3851,0,1105554,2,260,0
4,8,8,16,6,1,7,7,Lansing-East Lansing,MI,Lansing-East LansingMI,546772,17.93995711839034,36.4,63.4,14.899999999999999,17.709758363632375,32.5,6.6000000000000005,-25,15390.22,17,10591.5,17,78021,1,14095757,7,1203,0
4,8,14,11,4,17,25,16,Anchorage,AK,AnchorageAK,398900,8.274929834371125,34,69.3,9.4,32.04712960641765,32.300000000000004,8.9,-5856,2611.4,32,8134.68,16,24627,0,2993292,5,836,0
1,2,9,8,10,25,3,32,Redding,CA,ReddingCA,179212,1.3035171220874275,41.5,54.2,16.7,13.441064214449923,22.2,5.5,-904,1049.88,4,3000.86,8,14331,0,1846322,5,567,0
1,6,13,12,17,18,24,35,Deltona-Daytona Beach-Ormond Beach,FL,Deltona-Daytona Beach-Ormond BeachFL,646288,30.286078302116913,47.5,52,13.900000000000002,18.450907335429406,23.9,8.3,5412,5329.43,16,9606.38,13,57385,0,11314947,6,1582,0
5,3,8,16,12,29,27,5,Abilene,TX,AbileneTX,170669,4.64584406347337,34.1,60.3,14.7,22.634456169544556,23,5.6000000000000005,351,1712.22,11,3877.27,9,9923,0,3048943,6,731,0
5,3,8,10,6,1,6,7,Tucson,AZ,TucsonAZ,1027207,6.505699550630295,38.5,58.199999999999996,16.8,23.96819725722274,32.4,13,5881,9284.91999999999,19,20016.22,22,88287,1,15756723,12,2885,0
1,2,9,7,20,19,30,20,Bangor,ME,BangorME,151774,-0.7584971294806953,42,60.4,14.799999999999999,5.47458721520155,27.700000000000003,2.9000000000000004,144,3271.31,8,6079.4,8,20688,1,5506942,4,526,0
1,2,10,4,22,2,26,6,Hilton Head Island-Bluffton,SC,Hilton Head Island-BlufftonSC,214752,0,44.8,56.49999999999999,11.200000000000001,28.287513038295337,38.1,8.200000000000001,2053,843.73,11,5044.82,19,5549,0,1375607,3,331,0
1,2,9,7,20,23,30,40,Owensboro,KY,OwensboroKY,118477,4.304151847026105,39.1,61.1,16.2,8.820277353410367,21.3,2.7,114,1176.15,5,783.5,2,7592,0,2307996,1,360,0
5,3,15,17,15,11,19,21,Vineland-Bridgeton,NJ,Vineland-BridgetonNJ,151906,-2.283604363935776,37.6,55.60000000000001,16.5,31.933564177846822,15.6,10,-330,315.03,4,3591.28,3,4149,0,1585362,2,386,0
4,8,14,20,18,17,13,16,Fargo,ND-MN,FargoND-MN,240421,19.316224894416358,32.5,74.8,11.1,12.040545543026608,38.6,6.7,-1200,5468.26,23,12875.85,15,26120,1,4406515,3,714,0
4,3,8,10,6,30,6,25,Little Rock-North Little Rock-Conway,AR,Little Rock-North Little Rock-ConwayAR,737015,8.09651340838824,36.9,62.4,15.1,29.675108376355976,30.4,4.3,-2930,6511.24,23,27956.82,28,45070,1,13589040,16,2909,0
4,8,2,14,1,9,8,27,State College,PA,State CollegePA,161960,6.967129204615263,32.3,57.3,18.2,12.41726352185725,45.5,8.7,-1259,23522.489999999998,2,2434.1,3,70595,1,16920529,2,333,0
5,3,7,3,24,6,5,22,Sumter,SC,SumterSC,140714,32.000637892702684,38.1,56.89999999999999,19.7,52.28548687408502,18.2,2.8000000000000003,-321,907.4,4,851.69,2,6909,0,3470625,2,266,0
1,2,10,4,22,19,30,26,Peoria,IL,PeoriaIL,406883,8.200326555793701,39.9,61.199999999999996,12.2,14.601494778597287,27.700000000000003,3.3000000000000003,-2877,2373.1,6,12633.05,16,22114,0,5650132,8,1357,0
4,7,14,20,18,5,7,8,Raleigh-Cary,NC,Raleigh-CaryNC,1332311,24.550665891367075,36.7,69.1,9.8,32.79009180288986,46.800000000000004,12.3,10923,14428.59,40,19920.36,16,99958,1,18281181,5,1873,0
1,2,10,4,22,7,30,26,Mount Vernon-Anacortes,WA,Mount Vernon-AnacortesWA,125612,9.008860462896262,41.5,59.699999999999996,12,17.89717542909913,26.200000000000003,10.299999999999999,202,832.41,4,2044.23,9,7734,0,734995,3,270,0
5,3,7,3,24,6,5,22,Shreveport-Bossier City,LA,Shreveport-Bossier CityLA,399619,1.5937460277106963,36.9,59.099999999999994,21.3,44.652781774640346,23.400000000000002,2.7,-2904,3965.39,16,15933.11,44,28169,0,8850784,10,1561,0
