Name,State,MSA,Cluster ID,PC_demographics,PC_economics,PC_hospitals,PC_highered,PC_demographics_ntile,PC_economics_ntile,PC_hospitals_ntile,PC_highered_ntile,totpop_19,popchange,medage,poc,pov,youngpov,oldpov,labfor,emp,mbsaocc,serocc,salocc,ncmocc,ptmocc,houincome,wfh,pcinc,medearn,nohealthin,highed,forborn,noenglish,ownerocc,renterocc,net_mig,highered_emp_qcew,highered_inc_qcew,highered_estab_qcew,hospital_emp_qcew,hospital_inc_qcew,hospital_estab_qcew,inst_highered_endowment,inst_highered_nihresearchfunding,inst_highered_nsfresearchfunding,inst_ipeds_enrollment_all,inst_ipeds_noncarnegie,inst_ipeds_associatescolleges,inst_ipeds_baccassoccollege,inst_ipeds_baccalaureatecolleges,inst_ipeds_masterscollegeuni,inst_ipeds_doctuniallother,inst_ipeds_doctoralunihighrese,inst_ipeds_specialfocus,inst_ipeds_tribalcolleges,inst_ipeds_undergradgrad,inst_ipeds_totalgradenrollment,inst_ipeds_completions,inst_ipeds_pellawards,inst_ipeds_pellnumberofstudents,inst_hosp_ahacommunityhospitals,inst_hosp_ahabeds,inst_hosp_ahaadmissions,inst_hosp_ahasurgicaloperations,inst_hosp_nihresearchfunding,inst_hosp_medpayments,inst_hosp_medbeneficiaries,impact_gva_direct,impact_share_allind_gva,impact_share_allind_emp,impact_share_allind_inc,regional_gva_allind,regional_emp_allind,regional_inc_allind,index_real_gdp_19,current_dollar_gdp_19,real_gdp_19,index_real_gdp_21,current_dollar_gdp_21,real_gdp_21,percapita_personal_income_19,total_income_pc_19,percapita_personal_income_21,total_income_pc_21
Charleston,WV,CharlestonWV,24,-1.114917753076641,-1.1072537252673356,2.089897396830326,-3.6622370850008603,4,12,95,22,264113,-13.130153634638342,43.4,8.568302203980872,18.5,26.700000000000003,9.9,52.2,48.9,36,18.5,24.5,9.2,11.700000000000001,45225,3.5999999999999996,27178,31381,5.7,21.5,1.5,0.6,72,28.000000000000004,-1241,1568.12,47139598.32,17,8950.38,692488348.66,12,0,0,648409,11391,5,2,0,1,0,1,0,1,0,10217,1174,4098,3556758,774,7,1213,47656,79472,0,303399458.44,52928,956254930.5259671,0.14499999582767487,0.15299999713897705,0.12099999934434891,11874118000,129160,9935630000,88.919,13190988,11764776,85.774,13553478,11348602,45195,11788186,51638,13168698
Sherman-Denison,TX,Sherman-DenisonTX,13,-0.696344798448084,-0.0398204802262122,2.384338406885642,-3.752495494418711,17,44,97,21,131014,9.99319962052203,39.9,13.500847237699787,13.100000000000001,18.7,8.200000000000001,62,59,30.5,19,22.900000000000002,11.4,16.3,54815,5.5,28011,30554,17.4,20.4,6.3,4,67.4,32.6,77,512.56,13187538.44,2,3268.2,233537312.27,9,149666616,0,0,6926,1,1,0,1,0,0,0,0,0,6887,39,2844,2475653,467,5,592,28708,35036,0,236970500.59,27092,329232311.0846119,0.09799999743700027,0.09399999678134918,0.05999999865889549,5273226000,72164,6069933000,113.555,5249427,4761088,118.975,5852474,4988343,45771,6137645,52055,7253087
Charleston-North Charleston,SC,Charleston-North CharlestonSC,12,0.20572199421708237,0.6978872425128446,0.14080100717790234,-2.4327318114739582,63,72,60,34,774508,20.653030704282394,37.2,32.365579180589485,12.9,18.9,8.7,65.2,61,39.5,17.9,22,9.1,11.4,63649,5.800000000000001,35011,36375,10.5,35.6,5.4,2.8000000000000003,70.8,29.2,3794,6958.76999999999,337769081.63,20,16439.05,1328280500.06,44,790164032,128903067,447712,45772,8,2,0,0,3,0,0,2,0,37874,7898,17206,9852710,1815,9,2048,94965,104311,0,944951271.5600001,130166,2260448949.0039587,0.07599999755620956,0.07900000363588333,0.0560000017285347,46191046000,505464,42894437000,123.26,46291908,40076838,128.023,50704392,41625511,55099,43519895,60754,49396282
Bowling Green,KY,Bowling GreenKY,10,-0.2291588516168633,-0.8022389149360577,0.5822099031078075,5.355444510563752,39,19,75,87,174498,43.194295139544224,35.1,14.522229481140183,17.299999999999997,22.400000000000002,9.2,62.7,59.5,32.6,16.6,21.6,8.7,20.4,49700,3.1,26926,26535,5.8999999999999995,26.900000000000002,7.1,4.8,61.199999999999996,38.800000000000004,245,2896.41,143945823.78,5,3925.09,220766449.9,7,175186052,0,377259,30241,4,1,1,0,0,1,0,0,0,27037,3204,14698,7087728,1575,4,680,24926,17228,0,188512322.12,29789,515447196.9230555,0.11400000005960464,0.11699999868869781,0.08799999952316284,7491960000,103200,6639483000,113.486,7651366,6696322,118.438,8368247,6988563,37772,6740418,43282,7902962
Anniston-Oxford,AL,Anniston-OxfordAL,13,-0.6507837402295685,-0.9814763953500613,0.14314196453503958,-1.1910429296322262,19,15,60,49,114618,-2.160496461770911,39.6,26.33007032054302,17.9,25.6,9.700000000000001,56.699999999999996,51.6,28.199999999999996,17,23,10.4,21.3,47255,2.5,25345,28889,9.5,18.5,2.7,1.5,72.8,27.200000000000003,-265,1396.62,69616805.06,5,1766.77,103400308.91,4,0,0,0,9766,0,0,0,0,1,0,0,0,0,8307,1459,3500,2603156,498,3,244,15251,14945,0,179690200.68,25505,228858871.64095795,0.06499999761581421,0.0729999989271164,0.05299999937415123,4666985000,58475,4301394000,99.6,4704311,4139002,102.155,5108424,4245199,36869,4301429,42621,4942877
Fayetteville,NC,FayettevilleNC,23,0.5176013112736436,-0.595019084678828,-1.0699090801373077,-2.6923660618722427,80,24,10,29,519101,45.356768835299974,32.3,46.236088930670526,17.9,24.8,11.4,63.1,49.7,33.300000000000004,19.3,22.900000000000002,9.9,14.6,48459,3.4000000000000004,24228,29538,10.7,23.7,6.2,3.5999999999999996,57.099999999999994,42.9,120,5779.53,249671192.95,8,10571.43,853525386.8199999,19,24340860,430680,500000,30034,1,1,0,0,2,0,0,3,0,28468,1566,13622,9361071,1449,3,754,41689,17066,0,393825934.40000004,58123,1589305994.2821298,0.10100000351667404,0.09799999743700027,0.08799999952316284,19349108000,222695,15205403000,99.243,21909942,19054459,103.333,24254218,19839777,38364,19941677,45542,23890639
Bellingham,WA,BellinghamWA,34,-0.009334267670171911,-0.09571999711230386,-1.5144305561595022,1.2393243654537542,50,42,3,73,220821,12.667799360181231,37.3,16.671874504689317,14.099999999999998,11.3,8,62.4,58.699999999999996,35.699999999999996,19.1,21.3,9.700000000000001,14.2,62984,6.1,32267,31134,6.2,34.300000000000004,10.100000000000001,3.4000000000000004,60.5,39.5,957,3383.95,249488691.29,11,2729.05,296025370.9,2,0,410150,427177,27960,0,0,2,0,1,0,0,0,1,26756,1204,13110,3963151,908,1,255,15031,7855,0,229957529.44,44017,703101812.368421,0.07199999690055847,0.08299999684095383,0.06599999964237213,14813673000,129888,11403474000,137.094,14337042,13229471,136.203,16036428,13143464,51683,11650371,58137,13303658
Ocala,FL,OcalaFL,15,-0.9020637382275041,-1.5364009287030225,-0.718512121762718,-2.8201549729614372,10,5,21,28,353526,8.167167942037668,48.7,18.09343584347403,16.1,28.1,8,46.5,42.6,30.099999999999998,21.8,26.200000000000003,10.100000000000001,11.799999999999999,45371,6.800000000000001,25839,27347,11.4,20.1,7.6,3.6999999999999997,78.5,21.5,4092,971.65,34226531.95,10,4181.53,302904578.57,10,72029390,0,0,25920,1,0,1,1,0,0,0,1,0,25894,26,14386,4785288,927,4,718,36819,19839,0,634179597.55,114821,461095856.69249046,0.06700000166893005,0.05999999865889549,0.035999998450279236,10869018000,157565,14183762000,118.744,10839061,9379119,132.126,12907979,10436152,39153,14468661,45152,17424672
Syracuse,NY,SyracuseNY,7,-0.13258212051626903,0.28614068426774353,0.03249423204205974,3.1912341102580126,43,57,55,81,652416,-0.9706881032648162,39.6,15.88158475573867,14.2,20.7,8.7,61.9,58.4,39.6,17.9,23,7.7,11.799999999999999,60337,4.3999999999999995,32634,35641,3.9,31.8,6.3,3.1,68.10000000000001,31.900000000000002,-4665,11657.32,610261761.5,17,16036.04,1363871208.46,17,2493970304,27269796,273361,78881,5,2,2,2,2,0,2,3,0,65273,13608,32670,18934852,3931,6,1943,88380,70611,0,621637446.38,126293,2721976514.259155,0.10100000351667404,0.11999999731779099,0.0860000029206276,42521610000,388311,33200061000,107.555,42809490,37177312,109.119,46414861,37718046,50461,33438256,58137,38270807
Springfield,MO,SpringfieldMO,2,-0.6253818470210616,-0.3775439239066516,0.7937656066123182,1.5527411623102976,20,30,78,74,462434,8.154998292661242,36.8,8.034660081222402,15.2,17.299999999999997,8.799999999999999,60.9,58.5,35.3,18.099999999999998,23.7,8.9,13.900000000000002,48549,4.3,26806,30017,10.9,27.6,2.5,1.6,65.5,34.5,-684,6378.53,258422210.75,16,17234.72,1087083371.43999,16,96516597,0,0,58259,7,1,1,0,3,1,0,3,0,51520,6739,24254,15097156,3079,5,1514,76254,72568,0,403226688.74,91219,1886442505.090313,0.1589999943971634,0.15800000727176666,0.11299999803304672,21573068000,290527,20261327000,113.839,21576731,18661342,118.902,23930761,19491262,43345,20464668,48664,23430738
