Name,State,MSA,Cluster ID,PC_demographics,PC_economics,PC_hospitals,PC_highered,PC_demographics_ntile,PC_economics_ntile,PC_hospitals_ntile,PC_highered_ntile,totpop_19,popchange,medage,poc,pov,youngpov,oldpov,labfor,emp,mbsaocc,serocc,salocc,ncmocc,ptmocc,houincome,wfh,pcinc,medearn,nohealthin,highed,forborn,noenglish,ownerocc,renterocc,net_mig,highered_emp_qcew,highered_inc_qcew,highered_estab_qcew,hospital_emp_qcew,hospital_inc_qcew,hospital_estab_qcew,inst_highered_endowment,inst_highered_nihresearchfunding,inst_highered_nsfresearchfunding,inst_ipeds_enrollment_all,inst_ipeds_noncarnegie,inst_ipeds_associatescolleges,inst_ipeds_baccassoccollege,inst_ipeds_baccalaureatecolleges,inst_ipeds_masterscollegeuni,inst_ipeds_doctuniallother,inst_ipeds_doctoralunihighrese,inst_ipeds_specialfocus,inst_ipeds_tribalcolleges,inst_ipeds_undergradgrad,inst_ipeds_totalgradenrollment,inst_ipeds_completions,inst_ipeds_pellawards,inst_ipeds_pellnumberofstudents,inst_hosp_ahacommunityhospitals,inst_hosp_ahabeds,inst_hosp_ahaadmissions,inst_hosp_ahasurgicaloperations,inst_hosp_nihresearchfunding,inst_hosp_medpayments,inst_hosp_medbeneficiaries,impact_gva_direct,impact_share_allind_gva,impact_share_allind_emp,impact_share_allind_inc,regional_gva_allind,regional_emp_allind,regional_inc_allind,index_real_gdp_19,current_dollar_gdp_19,real_gdp_19,index_real_gdp_21,current_dollar_gdp_21,real_gdp_21,percapita_personal_income_19,total_income_pc_19,percapita_personal_income_21,total_income_pc_21
Dothan,AL,DothanAL,24,-0.673313496926359,-1.0392664425751246,2.4562536458200745,-6.364462276947425,18,14,97,3,148252,3.877576759764012,41.1,27.60165124247902,18.4,27.500000000000004,10.5,55.60000000000001,51.9,31,18.6,22.900000000000002,10.5,17.1,46351,2.7,25927,29841,10.8,19.5,2.1,1,67.60000000000001,32.4,366,1010.73,39881699.47,6,4410.02,304146103.94,7,0,0,0,980,1,0,0,0,0,0,0,1,0,325,655,564,326129,81,5,770,34841,37218,0,204953499.61,34421,466688532.6439273,0.09799999743700027,0.10599999874830246,0.07500000298023224,6810109000,80666,6414552000,117.112,6801935,5875975,120.708,7636116,6056414,42868,6451311,49343,7481323
Muncie,IN,MuncieIN,28,-0.7302729028770678,-1.7671511446187973,0.006863371970029923,14.132634902707391,15,3,53,96,115020,-1.9805017725661345,35.6,11.612762997739523,21.9,25,7.1,58.599999999999994,54.7,33.300000000000004,21.3,22,7.7,15.7,43512,3.4000000000000004,25107,23529,8.1,23.7,2.1,0.8,66.3,33.7,-459,3913.86,206675775.86,2,1755.62,112880404.86,5,0,78060,0,25042,1,0,0,0,0,0,1,0,0,17615,7427,12932,6936153,1397,2,364,16156,6508,0,187281915.41,23133,460553134.634645,0.15700000524520874,0.14100000262260437,0.10700000077486038,4221491000,60119,4340586000,103.39,4219411,3677599,103.095,4486204,3667118,38762,4349369,45325,5070606
Youngstown-Warren-Boardman,OH-PA,Youngstown-Warren-BoardmanOH-PA,24,-0.9051836663392212,-0.7282223677592018,0.34789266800148066,-4.084474455082275,9,21,67,15,541846,-5.267537916866994,44.1,14.664129660457032,16.7,27.1,7.9,57.699999999999996,54.1,31,19.7,21.8,8.4,19.1,47360,3.8,27692,29753,5.7,21.9,1.9,1.6,71.2,28.799999999999997,-920,3345.96,153342538.399999,11,8899.06,571860643.7,30,279778236,0,65930,24395,10,2,1,3,1,0,0,0,0,22936,1459,9086,8787735,1894,13,1564,78221,49928,0,588613129.75,132243,1002634901.8848011,0.07699999958276749,0.08100000023841858,0.05000000074505806,21860756000,280199,23024600000,96.536,21953620,19374675,95.486,23284271,19163892,42450,23032361,48904,26313563
Charlottesville,VA,CharlottesvilleVA,16,0.3341348469418422,0.7232115703849781,2.9524631228126643,11.53015257729669,72,73,99,93,215445,9.208278630771648,38.3,20.215832347002717,11.899999999999999,11.799999999999999,5.7,62.7,60.3,50.6,17.1,18.099999999999998,7.199999999999999,7.000000000000001,72697,8.200000000000001,40992,37388,7.8,48.1,8.9,3.5999999999999996,68.10000000000001,31.900000000000002,38,4295.21999999999,322691502.56,10,10912.43,994153494.46,7,7058234610,167925222,361608,35771,0,1,0,0,0,0,1,0,0,26161,9610,19226,3043508,658,3,806,39800,124409,0,287202816.14,37072,1672570712.2768939,0.14900000393390656,0.13300000131130219,0.10599999874830246,14967535000,162900,15382460000,114.903,14509683,12525065,117.569,15762678,12815761,69409,15317653,77070,17162532
Jonesboro,AR,JonesboroAR,10,-0.4497668891572677,-0.717894968752774,2.144490543841325,7.436023708499452,29,21,96,90,131241,11.191032940219593,35.1,19.458858131224236,17.5,24.4,8.200000000000001,62.1,58.199999999999996,32.2,18,21,11,17.8,46068,3.1,25858,27959,9.2,23.3,3.5000000000000004,2.1,65.60000000000001,34.4,-485,2551.57,104111294.13,5,4145.23,261698509.32,7,84430331,419190,49969,19085,1,0,0,0,0,0,1,0,0,10968,8117,10062,3381778,677,4,725,33367,16390,0,177229861.73999998,23821,512710309.1340102,0.15199999511241913,0.14900000393390656,0.11400000005960464,5623223000,79739,5064698000,113.354,5649368,4882703,121.748,6494679,5244289,38086,5077529,44554,6009338
Lubbock,TX,LubbockTX,10,-0.05011694845639279,-0.7818795869249813,1.304124849252494,6.494304504663929,49,19,90,89,316474,14.606774124625632,31,17.662430405025372,18.9,21.5,9.5,64.9,62.3,36.7,18.8,23,9.5,12.1,51942,3.1,27710,27305,13.200000000000001,29.5,5.8999999999999995,4.9,56.8,43.2,186,8173.37,521496159.07,13,6757.06,473893659.03,12,1338674786,17382202,389963,51120,4,0,0,0,1,0,1,1,0,38490,12630,23490,8103565,1680,10,1370,61757,45399,0,321099397.14000005,46203,1346094181.2222476,0.14499999582767487,0.13199999928474426,0.10400000214576721,14918116000,203089,14428680000,113.929,14900825,13121024,117.293,16402001,13508527,45637,14555620,51045,16602246
Eau Claire,WI,Eau ClaireWI,29,-0.7384058332935738,0.38957807961015917,1.5674961999317758,2.7233538475573296,14,63,92,78,167406,5.388203743224618,37,6.919106842048672,12.5,13.5,8.4,67.2,64.8,34.599999999999994,17.1,21.8,8.1,18.4,59584,6.3,30604,31078,6.1,27.700000000000003,2.9000000000000004,2.1,67.80000000000001,32.2,481,3915.89,221789301.899999,6,4391.78,322124040.04,8,81094364,0,204425,24639,1,1,0,0,1,0,0,0,0,23805,834,10538,4022255,928,7,611,25160,37235,0,197669516.75,33009,728186368.6686746,0.12200000137090683,0.13199999928474426,0.10100000351667404,9658901000,111725,8258700000,115.774,9688266,8625539,116.127,10308773,8651815,48595,8314829,54814,9500197
Midland,TX,MidlandTX,1,0.23945720244412994,1.9512244517163515,-0.7435527649619253,-4.8887217913306555,66,97,20,8,173816,31.57611863470171,31.7,17.925277304736042,9.5,13.200000000000001,11.1,70.6,68.2,35.6,14.7,22,14.7,12.9,79140,3.3000000000000003,38966,42957,16.400000000000002,27.1,13.4,9.4,70.7,29.299999999999997,295,843.12,63215643.4599999,3,1833.56,135041791.42,10,0,0,0,9248,0,0,1,0,0,0,0,0,0,9248,0,1262,798860,173,3,342,12578,9049,0,133657549.34,18024,261787404.4149486,0.009999999776482582,0.02199999988079071,0.009999999776482582,33276504000,160909,24759260000,233.583,33958091,42692344,216.105,42035915,39497721,141994,24823887,125455,21726357
Manhattan,KS,ManhattanKS,8,0.40045905441352886,-0.3729898569599866,-0.26175132143490687,11.783607098253206,74,31,39,94,132928,10.448430865869573,26.6,19.248013962445835,17.1,15,4.3,70.6,56.39999999999999,40.2,19.7,19.8,8.200000000000001,12,54141,4.7,26780,26016,5.8999999999999995,37.3,6.800000000000001,3.5999999999999996,53.1,46.9,-2805,5332.07,196282289.32,7,1294.33,93526353.29,7,510300000,10485384,481798,26198,1,1,0,0,0,0,1,1,0,20848,5350,12846,3654005,822,5,318,6929,11257,0,94996159.88,11108,417830839.45582646,0.14499999582767487,0.16099999845027924,0.0989999994635582,4145200000,58449,4446708000,87.694,7128730,6167065,90.251,7818079,6346910,46208,6137609,51163,6852329
Clarksville,TN-KY,ClarksvilleTN-KY,30,-0.0505452491776494,-0.01432583417704053,-1.325421538306888,-2.4898325311357175,49,45,4,32,299470,13.637484774087305,31.1,27.323605035562824,14.7,19,9.700000000000001,64.3,51.4,31.3,18.4,21.9,10,18.4,53027,2.7,25931,31440,8.200000000000001,24.8,4.1000000000000005,2.1999999999999997,60.3,39.7,106,2473.56,124761585.289999,12,4023.71,261166214.97,9,0,0,0,18760,2,1,1,0,1,0,0,2,0,17426,1334,8552,6685669,1473,3,329,17540,12373,0,283608488.04,39717,569134212.4968085,0.06499999761581421,0.06300000101327896,0.041999999433755875,12171857000,156079,12499149000,96.871,13019384,11348125,102.056,14546292,11955588,41503,13125992,47519,15600689
Barnstable Town,MA,Barnstable TownMA,9,-0.5996471165048192,1.1094366343022968,-0.2806617822773754,-4.893499903352417,20,83,38,8,213496,-1.8332467365265281,53.3,8.350039344999438,6.4,8.5,4.7,59.8,56.99999999999999,38.3,20.8,22.3,10.6,8,74336,7.3,44505,36726,3.3000000000000003,43.4,8,3.2,82.3,17.7,-575,1204.66,61586806.29,9,4059.33,434322630.06,13,0,0,649997,6525,1,1,0,1,0,0,0,0,0,6422,103,2032,887583,208,3,414,23337,13921,0,729350065.25,72139,639758600.9957733,0.06800000369548798,0.06499999761581421,0.0430000014603138,14325097000,151447,16041374000,108.121,14306911,12089470,108.069,15150695,12083714,74107,16845412,83191,19334595
Indianapolis-Carmel-Anderson,IN,Indianapolis-Carmel-AndersonIN,22,0.5189822784949144,0.8735005223574491,-0.03201061752146459,1.9130087353994172,80,78,51,76,2029472,18.180891758319518,36.5,23.369575929108656,12.4,17.5,7.3999999999999995,67.30000000000001,64,39.800000000000004,15.4,22.6,7.5,14.799999999999999,61552,4.9,33699,36467,8.1,34.699999999999996,7.000000000000001,3.9,67.60000000000001,32.4,-1994,30039.42,1472810277.07,38,54164.0499999999,4179207174.05,89,1142199304,205892656,286761,293326,14,2,1,4,3,1,1,6,0,257594,35732,108666,32896712,7150,28,5428,228856,173974,0,2105444384.35,319617,7929709121.137644,0.0989999994635582,0.11599999666213989,0.07900000363588333,148366536000,1370022,119484731000,112.655,148436881,129069197,116.25,162062985,133188041,57156,119720576,65805,139954077
Jackson,MI,JacksonMI,18,-0.9549124796796025,-0.33946683464007743,-0.27577251732501495,-2.6809393502320744,7,32,38,30,158636,-1.815323484084197,41.2,12.686275498625784,13.8,21.2,5.800000000000001,56.89999999999999,53.5,31.900000000000002,18.4,21.7,8.5,19.5,53658,3.3000000000000003,28364,31196,5.800000000000001,22.2,1.9,0.8999999999999999,74.9,25.1,363,884.72,33922929.94,4,2573.14,286455648.48,2,80429624,0,0,11449,0,0,1,0,1,0,0,1,0,9204,2245,4028,2189935,410,2,448,18221,17669,0,239272966.68,33522,410336105.59781957,0.08799999952316284,0.08399999886751175,0.0689999982714653,6898712000,74757,6399749000,118.577,6917412,6036438,124.5,7651976,6337930,39775,6418551,47503,7602801
Waco,TX,WacoTX,28,-0.12651008422129326,-1.131736682725331,-0.4007377954906326,6.90201529026278,44,12,32,90,268361,16.88858689734174,33.7,22.001334023945358,19.6,25.8,9.4,60.099999999999994,57.49999999999999,32.1,18.3,21.8,11.1,16.7,49077,3.5999999999999996,25255,27270,14.7,23.400000000000002,8.200000000000001,9.8,61.9,38.1,1437,4463.64,279747111.03,11,4178.51,287524882.37,16,1340417000,1883972,400000,47753,1,2,0,0,0,0,1,0,0,43548,4205,20640,10642934,1977,3,542,31015,18939,0,270291385.78000003,44323,809261215.9499304,0.08900000154972076,0.09200000017881393,0.07199999690055847,14014227000,163059,11598431000,124.53,13999433,12197984,126.887,15125143,12428815,42235,11624428,49151,13783247
Merced,CA,MercedCA,11,1.134859375061787,-1.3284463462872413,-1.739258065756847,1.998989869463103,93,8,1,77,271382,8.25013262916885,31.1,44.935920584268665,21.2,29.799999999999997,11,59.699999999999996,52.6,23.400000000000002,19.3,18.9,19.900000000000002,18.4,53672,3.5000000000000004,23011,27695,8.3,13.8,26.3,22.7,51,49,-752,3179.46,289875352,2,1671.49,166295120.68,5,0,7369525,356707,24866,2,1,0,0,0,0,1,0,0,24187,679,9808,12457808,2554,2,230,13809,8216,0,341025561.75,34646,562610415.4509606,0.07999999821186066,0.07100000232458115,0.054999999701976776,9512032000,106748,10517004000,124.549,9491213,9095228,123.062,10465518,8986693,38626,10786869,46580,13343412
Watertown-Fort Drum,NY,Watertown-Fort DrumNY,21,-0.4833175160836395,-0.10520257106142435,-0.19968613043107994,-4.533855058007443,28,41,42,11,112842,0,32.5,13.642083621346663,14.000000000000002,19.5,8.3,63.7,49.1,32.5,21.7,21.7,12,12,52685,5.2,26194,30188,5.3,22.2,4,2.1,56.2,43.8,-1916,376.8,28610009.24,3,2074.02,167215030,3,0,0,0,4559,1,1,0,0,0,0,0,0,0,4559,0,1226,1905139,407,3,231,9873,13226,0,129440103.7,19286,257173360.24291474,0.05700000002980232,0.05999999865889549,0.05000000074505806,6566607000,67177,5385600000,85.307,6581959,5744084,84.423,6972539,5684605,45905,5398665,53130,6178742
Prescott Valley-Prescott,AZ,Prescott Valley-PrescottAZ,15,-1.1983642442035658,-1.1488098031471403,-0.9588644951814682,-3.824329790741995,3,11,12,19,228067,8.987384115454455,53.4,8.689990222171556,13,17.2,8,48,45.2,32.1,23.5,22.8,10.4,11.1,52451,7.9,30341,27221,9.8,25.900000000000002,6.2,3.4000000000000004,75.6,24.4,3489,1537.92999999999,82905311,5,3121.33,259269580.54,8,0,0,0,13800,1,1,0,1,1,0,0,0,0,13225,575,4856,2131198,444,3,309,16267,12484,0,464323081.82,77933,460241038.2844265,0.08399999886751175,0.07500000298023224,0.04600000008940697,7688399000,102137,9696469000,121.342,7757575,6735652,129.585,8796885,7193227,43306,10092937,49060,11884929
Harrisburg-Carlisle,PA,Harrisburg-CarlislePA,17,-0.22806432889659717,1.137908535991904,0.5173761522516535,-1.3100374606750471,39,84,73,46,571013,5.400012551729749,40.4,20.031768103353166,9.8,15,6,65.4,62.6,39.6,16.2,22.3,7.3999999999999995,14.499999999999998,64916,5.2,35095,37628,5.7,32.2,6.5,4,71,28.999999999999996,1776,6774.28,317949314.75,14,17514.96,1771263334.78,16,597346677,0,242472,54170,4,1,0,2,4,0,0,2,0,44376,9794,16540,7681337,1671,8,1975,83340,73304,0,612231374.38,112445,2728229313.0873866,0.11299999803304672,0.11299999803304672,0.10599999874830246,41594127000,427347,31381645000,112.416,41603740,36735308,112.267,43867213,36686673,53645,31516297,60517,36086493
Huntington-Ashland,WV-KY-OH,Huntington-AshlandWV-KY-OH,2,-1.041319342242136,-1.2489800491993879,0.6356217190650155,-0.15929287824535632,5,9,76,63,361832,26.024687230070498,41.4,5.249397510446837,18.9,25,10.4,51.6,48.6,35.6,18.5,23.1,8.200000000000001,14.6,45441,2.9000000000000004,25602,30577,6.6000000000000005,20.1,1.0999999999999999,0.5,73.5,26.5,-1919,3628.43,142843936.59,15,10750.46,775815543.14,15,140180884,8383829,0,28950,5,2,1,0,0,0,1,3,0,23662,5288,13526,7098207,1459,6,1256,51983,46565,0,554396432.1999999,82583,1228126337.8057632,0.12300000339746475,0.1469999998807907,0.09600000083446503,16034848000,167088,14519620000,103.501,16180696,15062647,98.526,16470842,14338740,41213,14875730,47505,16939356
Rockford,IL,RockfordIL,21,-0.3024264535581968,0.028719239473726354,-0.1823980898672461,-4.409282461277071,35,47,43,12,338356,-2.6422933829009065,39.5,19.8433011384459,14.7,23,6.2,64.4,59.3,30.4,18.099999999999998,21.6,8.1,21.9,56027,3.8,29699,31566,5.8999999999999995,23,8.7,5,66.60000000000001,33.4,-1609,1188.32,65118728.9,6,8553,709728677.8,8,0,0,0,16662,3,2,1,0,1,0,0,1,0,16052,610,6782,2897195,591,4,859,40213,30978,0,398115644.05,65238,1069242995.5862004,0.10499999672174454,0.10400000214576721,0.07999999821186066,16792938000,185110,14981286000,103.286,16828408,14540100,99.505,17005386,14007853,44225,15017806,51140,17197161
Texarkana,TX-AR,TexarkanaTX-AR,13,-0.47911691864988487,-0.8875794879309888,1.1771266101976687,-3.5797184237785964,28,18,87,23,149292,11.041525656950313,38.6,30.258821638131984,17.599999999999998,25.1,10.8,54,50.4,32.2,17.1,22.1,10,18.6,47377,2.6,26002,31896,11.799999999999999,18.8,3,1.9,65.10000000000001,34.9,38,689.54,31304792.25,8,2971.49,192848573.94,9,0,0,0,8267,2,1,0,0,1,0,0,0,0,7758,509,2802,2434740,465,6,697,22895,11097,0,243497810.14000002,29741,304219169.1081822,0.08699999749660492,0.08299999684095383,0.05900000035762787,5651556000,79506,5790927000,93.001,5658347,4906352,93.41,6086205,4927946,39088,5780189,45058,6631374
Dalton,GA,DaltonGA,20,-0.3987873350365907,-0.3336026739749102,-0.9464141933514665,-4.659185601729228,31,32,13,10,143961,2.950620374012236,36.5,9.098297455560882,15.8,24.3,11,62.1,58.599999999999994,22,12.2,20.7,10.5,34.699999999999996,48481,1.7999999999999998,23426,30223,16.1,14.099999999999998,15.5,12.6,68.8,31.2,-106,622.75,32806094.74,1,1999.07,148365504.2,6,0,0,0,6004,1,0,0,1,0,0,0,0,0,6004,0,1686,2409687,494,2,239,10491,5511,0,177368036.46,23950,240564580.7926318,0.05000000074505806,0.0560000017285347,0.04800000041723251,7205178000,79972,5481242000,107.397,7197191,6416540,111.966,7950074,6689497,38282,5481386,44668,6378615
Kennewick-Richland,WA,Kennewick-RichlandWA,30,0.28017464411412657,0.4709025653851921,-0.8057214098975718,-4.871743958823713,68,67,18,9,289527,21.44283281461037,33.9,21.56931823284184,12.9,19,7.1,63.3,59.8,36.4,17.299999999999997,18.7,14.7,13,67310,4.3,30181,35225,9.5,27,14.499999999999998,13.200000000000001,68.4,31.6,912,1762.84,92270012.08,11,3998.22999999999,369687482.85,10,0,0,289982,10190,2,0,1,0,0,0,0,0,0,10190,0,3400,1942590,460,4,447,24995,21622,0,397368518.82000005,43561,606000742.6376445,0.05900000035762787,0.06400000303983688,0.05000000074505806,16437128000,160176,13590888000,120.373,16428697,14672226,120.752,17836850,14718403,45599,13698979,52082,16056627
Oshkosh-Neenah,WI,Oshkosh-NeenahWI,31,-0.6904210198031352,0.5747683694623771,-0.07522710664681831,0.027342489264374263,17,69,49,66,170411,3.2593678801686954,38.3,8.24594656448234,11.3,14.099999999999998,6.6000000000000005,65.10000000000001,63.1,33.1,16.8,23.1,6.800000000000001,20.1,58543,3.9,32571,33387,4.6,28.299999999999997,3.5000000000000004,2.1999999999999997,65.60000000000001,34.4,-382,3640.85,124961524.71,3,2175.41,153075430.39,5,0,0,0,19293,1,0,0,0,1,0,0,0,0,17620,1673,6262,2930422,680,4,384,16613,27211,0,103868123.94,32134,388017078.43202966,0.05299999937415123,0.0729999989271164,0.04899999871850014,10932180000,115570,8408380000,109.113,11031285,9775936,111.242,11586606,9966665,49145,8446761,55202,9473946
Baton Rouge,LA,Baton RougeLA,3,0.3118069587283586,0.11150719755979202,0.018642614670211683,-0.670313878832215,72,51,54,56,854318,8.42135587928845,35.6,40.77252264379306,15.9,21.8,10,63.1,59.199999999999996,36.1,17.5,22.5,10.6,13.200000000000001,58912,3.1,31082,34777,8.3,27.6,4,2.8000000000000003,68.30000000000001,31.7,-1579,7777.41,400489594.88,40,14242.31,942976105.49,60,926246815,33057646,324999,64442,13,2,0,1,1,0,1,8,0,55493,8949,27120,23829120,4779,19,2480,81337,63643,0,654432882.1299999,132856,1819514325.8027687,0.057999998331069946,0.07500000298023224,0.052000001072883606,55493735000,531730,41790774000,102.637,57128197,53731952,94.377,56199218,49407726,49639,43091025,56396,49171959
Morgantown,WV,MorgantownWV,10,-0.250064760433453,-1.241063490864629,4.309875384413173,14.512966958133406,37,9,100,96,139157,10.713575355435157,34.2,9.856493025862873,19.5,16.900000000000002,7.1,58.699999999999996,54.6,43.8,18.8,18.9,9.1,9.4,52332,4.7,30396,26769,5.2,35.699999999999996,4.6,1.5,64.4,35.6,-1111,5269.25,254023709.14,13,9555.33,863798097.27,8,589835179,24152938,490028,31660,4,1,0,0,0,0,1,0,0,24642,7018,14098,6569002,1430,4,963,43794,45730,0,131302711.88,20826,1444778885.704838,0.2770000100135803,0.28999999165534973,0.25600001215934753,7857655000,86312,6254637000,108.372,7929147,6870459,108.421,8597534,6873593,45465,6352244,50016,7039535
Springfield,MA,SpringfieldMA,7,-0.05264467584223217,0.03249642576496004,-0.12517285397557942,3.634972770358373,48,48,46,83,699480,1.2097771874308272,39.3,15.9941670955567,14.799999999999999,21.5,9.1,62.1,58.5,39.4,20.200000000000003,20.5,7.1,12.8,59419,5,31941,33478,2.8000000000000003,32.800000000000004,8.3,7.000000000000001,64.1,35.9,-2112,18528.87,944216140.89,42,16253.33,1218012531.31,38,5315354883,35753889,277272,86651,4,3,0,4,5,1,1,3,0,68463,18188,42384,16120205,3505,9,1632,79716,57861,7716912,1016288950.75,143862,2952426369.7674413,0.1340000033378601,0.14399999380111694,0.08799999952316284,35373387000,411846,37262304000,105.723,35232359,30417786,105.213,37189530,30271060,53846,37709102,61523,42777546
Urban Honolulu,HI,Urban HonoluluHI,1,2.170595789588907,1.489423228079782,-0.7793092936889827,-1.8176254868172106,97,93,19,41,984821,5.105423358349759,37.9,79.06035716135217,8.3,10.100000000000001,7.8,66.60000000000001,59,36.5,21.5,23.7,8.9,9.5,85857,4,36816,39605,3.3000000000000003,35,19.7,13.200000000000001,59.3,40.699999999999996,-6775,15270.06,895568353.959999,98,17059.559999999998,1804221326.29,29,350392366.99999994,50552236,349793,66798,3,4,1,3,3,0,1,2,0,59856,6942,23296,10374434,2170,11,1877,80424,68889,3116302,605936908.56,160142,3530582955.9704328,0.08699999749660492,0.08900000154972076,0.0689999982714653,67586072000,644448,57756093000,107.108,67682022,58463852,101.427,67383319,55363444,57560,58640919,63912,63968618
Hanford-Corcoran,CA,Hanford-CorcoranCA,23,0.4494502080793965,-1.0293381385459304,-0.6848009746851417,-4.960928970683334,77,14,22,7,150691,-0.2852000370561547,31.8,32.27067309925609,18.2,25.5,11.700000000000001,55.60000000000001,47.8,25.2,21.4,19,19.8,14.6,57848,4.6,22373,30368,7.5,14.7,18.9,20.7,53.900000000000006,46.1,-577,72.78,852813.86,3,1990.85,153501998.41,4,0,0,0,6665,1,1,0,0,0,0,0,0,0,6665,0,1896,1484912,296,2,248,18040,10723,0,136856495.5,16296,206854996.63368133,0.04399999976158142,0.04699999839067459,0.03700000047683716,6527293000,66548,5565748000,119.602,6573099,6096491,119.167,7258824,6074335,36599,5586182,43176,6625114
Greeley,CO,GreeleyCO,32,-0.24056253006885714,1.2837801337135655,-1.5594994524532844,-1.7399285495385541,38,89,3,41,305345,25.728814955118185,34.4,9.678560317018455,10,12,8.4,68.2,65.4,34.2,16,21.099999999999998,13.100000000000001,15.6,74150,6.2,31793,37371,7.9,27.500000000000004,8.7,6.7,74.9,25.1,598,3571.17,185456451.04,13,2235.81,223779351.06,2,0,0,0,24914,0,1,0,0,0,1,0,1,0,20528,4386,9796,4265294,942,4,474,11739,10062,0,216164129.84,41171,544036087.8142188,0.03500000014901161,0.052000001072883606,0.03400000184774399,21080910000,166294,15885580000,198.269,21563980,24309629,172.81,22082249,21188168,50117,16152882,56553,19230197
Salisbury,MD-DE,SalisburyMD-DE,21,0.06539035987077435,-0.16218373473714576,-0.5882360521278347,-3.195094872667868,55,39,24,25,404417,227.82947747280363,45.5,23.640697596787476,12.6,20.200000000000003,6.2,57.4,54.1,34.1,20.599999999999998,22.900000000000002,10.6,11.700000000000001,60446,5.800000000000001,32880,31408,6.4,27.3,7.1,4.3999999999999995,76.1,23.9,2044,2679.85999999999,156935470.68,9,6288.38,631851371.68,17,56881628,652095,402244,17204,3,1,0,0,1,0,1,0,0,15398,1806,6866,3623992,803,5,651,36112,40128,0,1023327442.5999999,105732,1017727616.8677411,0.07100000232458115,0.07800000160932541,0.054999999701976776,23214821000,225488,20469189000,121.886,23232395,20156637,124.556,25194103,20598156,50308,20806812,55698,23906703
Twin Falls,ID,Twin FallsID,13,-0.4964852860645409,-0.2317829737604698,0.11157989393754449,-1.5435164740521334,26,36,58,43,108599,0,34.2,7.821434819841803,15.299999999999999,21,11,65.7,63.4,29.799999999999997,17.4,19.8,15.2,17.8,52919,4.8,24502,28212,13.5,19.7,10.6,7.5,69.6,30.4,1190,585.46,15354148.28,4,1846.14,146876377.69,11,0,0,0,12791,3,1,0,0,0,0,0,0,0,12791,0,2396,1680573,351,2,231,11552,10714,0,106877343.68,19011,249079078.86197788,0.07900000363588333,0.07199999690055847,0.054999999701976776,5067043000,66109,4510721000,129.37,5101673,4802117,134.356,5878885,4987213,39910,4509155,44937,5253340
Albany,GA,AlbanyGA,3,0.14609820865049217,-1.5705867305987786,-0.004974034396027176,0.303814980348629,61,5,53,69,148436,-5.771672337616174,36.9,57.8741006224905,24.2,36.4,13.100000000000001,58.4,51.9,30.7,19.400000000000002,21.8,10.6,17.4,44844,3.8,23715,29069,15.5,20,2.3,1.2,57.4,42.6,-359,1234.63,63282493.38,4,2828.34,185516818.75,5,0,0,0,12159,0,1,0,0,1,0,0,0,0,11699,460,6192,8011950,1430,2,460,18957,14159,0,166305980.56,28444,336374496.57418525,0.09200000017881393,0.09200000017881393,0.06800000369548798,6110853000,83671,5806620000,99.738,6038750,5225312,99.453,6462473,5210366,38118,5699835,45619,6741302
South Bend-Mishawaka,IN-MI,South Bend-MishawakaIN-MI,7,-0.28422140159565623,-0.11418784457350915,-0.39419276636881045,4.611498628770327,36,40,33,85,321739,0.8741154597414758,38.1,20.360913659829862,14.899999999999999,21.4,8.7,62.8,59.699999999999996,35.199999999999996,16.3,21.2,7.8,19.400000000000002,53323,4.1000000000000005,28709,31042,7.9,27.800000000000004,5.7,3,71.89999999999999,28.1,-902,11539.76,567468797.459999,12,6423.01,432505629.84,5,11268365000,25947220,287937,26330,0,1,0,2,2,0,1,2,0,20754,5576,13434,6029749,1255,4,770,35200,31019,0,350056332.66999996,59440,1486134744.1311321,0.14399999380111694,0.16200000047683716,0.09799999743700027,16136196000,179701,15452049000,114.15,16199237,14150611,113.496,17031977,14069532,47524,15427748,56109,18162235
Nashville-Davidson--Murfreesboro--Franklin,TN,Nashville-Davidson--Murfreesboro--FranklinTN,17,0.18769855692458992,1.0246819234257556,0.1390127156445716,-1.3364564898098714,63,81,59,46,1871903,21.43063337270952,36.4,22.44934700142048,11.4,15.7,7.6,68.60000000000001,65.9,40.300000000000004,15.5,22.5,8,13.8,66347,6.3,35479,36137,9.3,36.199999999999996,8.3,5.2,66.9,33.1,12233,22978.03,1210088146.05,61,54231.69,4624587704.95,65,6933228517.000001,119119930,359988,116480,19,4,2,2,1,4,2,13,0,96691,19789,49902,38224670,8907,27,5027,236560,215979,284934924,1590426582.07,287622,11267611192.481712,0.13899999856948853,0.11900000274181366,0.0860000029206276,142315689000,1408696,119811818000,130.374,142709378,124739883,142.44,163031737,136284579,61366,120558808,70026,140925821
